Thoi_Gian,Ap_Bat_Loi,Ap_Sau_Van,Luu_Luong,Ap_Truoc_Van,Dung_Luong_Ac_Quy_Van,Dung_Luong_Ac_Quy_Bat_Loi
4/6/2026-00:00:59,0.94,1.48,31.56,3.05,80.00,86.00
4/6/2026-00:15:59,0.95,1.50,30.37,3.04,80.00,86.00
4/6/2026-00:30:59,0.99,1.54,31.03,3.04,80.00,86.00
4/6/2026-00:45:59,1.03,1.57,30.19,3.09,80.00,86.00
4/6/2026-01:00:59,1.06,1.61,29.32,3.10,80.00,85.00
4/6/2026-01:15:59,0.95,1.48,28.60,3.18,79.00,85.00
4/6/2026-01:30:59,0.85,1.37,12.18,3.07,79.00,84.00
4/6/2026-01:45:59,0.87,1.39,12.60,3.10,79.00,84.00
4/6/2026-02:00:59,0.86,1.37,12.21,3.07,79.00,84.00
4/6/2026-02:15:59,0.92,1.47,20.81,3.11,78.00,83.00
4/6/2026-02:30:59,0.96,1.47,21.26,3.07,78.00,83.00
4/6/2026-02:45:59,0.97,1.50,19.69,3.11,78.00,82.00
4/6/2026-03:00:59,0.97,1.50,18.56,2.95,78.00,82.00
4/6/2026-03:15:59,0.96,1.52,20.00,3.04,77.00,81.00
4/6/2026-03:30:59,0.99,1.52,19.33,3.08,77.00,81.00
4/6/2026-03:45:59,0.92,1.49,19.88,3.07,77.00,81.00
4/6/2026-04:00:59,0.96,1.50,18.13,3.20,77.00,80.00
4/6/2026-04:15:59,0.96,1.50,21.23,3.35,77.00,80.00
4/6/2026-04:30:59,0.95,1.48,21.11,3.34,77.00,80.00
4/6/2026-04:45:59,0.92,1.43,21.64,3.34,76.00,79.00
4/6/2026-05:00:59,0.92,1.46,23.78,3.78,76.00,79.00
4/6/2026-05:15:59,0.88,1.43,24.53,4.10,76.00,78.00
4/6/2026-05:30:59,0.88,1.46,26.37,4.34,76.00,78.00
4/6/2026-05:45:59,1.29,3.75,234.93,4.02,75.00,77.00
4/6/2026-06:00:59,1.41,3.75,219.06,3.86,77.00,78.00
4/6/2026-06:15:59,1.33,3.54,215.67,3.64,78.00,80.00
4/6/2026-06:30:59,1.27,3.52,208.36,3.61,78.00,87.00
4/6/2026-06:45:59,1.19,3.28,192.29,3.34,79.00,93.00
4/6/2026-07:00:59,1.15,3.29,198.98,3.33,86.00,100.00
4/6/2026-07:15:59,1.25,3.31,186.53,3.36,96.00,100.00
4/6/2026-07:30:59,1.23,3.23,179.03,3.26,100.00,100.00
4/6/2026-07:45:59,1.28,3.34,177.43,3.38,100.00,100.00
4/6/2026-08:00:59,1.48,3.13,158.26,3.14,100.00,100.00
4/6/2026-08:15:59,1.45,3.09,170.89,3.10,100.00,100.00
4/6/2026-08:30:59,1.79,3.32,191.82,3.37,100.00,100.00
4/6/2026-08:45:59,1.55,3.37,177.90,3.41,100.00,100.00
4/6/2026-09:00:59,1.83,3.32,171.59,3.34,100.00,100.00
4/6/2026-09:15:59,1.91,3.20,165.05,3.20,100.00,100.00
4/6/2026-09:30:59,2.03,3.33,152.01,3.32,100.00,100.00
4/6/2026-09:45:59,2.16,3.37,153.43,3.35,100.00,100.00
4/6/2026-10:00:59,2.17,3.40,152.00,3.40,100.00,100.00
4/6/2026-10:15:59,2.22,3.71,177.87,3.74,100.00,100.00
4/6/2026-10:30:59,2.14,3.68,173.16,3.72,100.00,100.00
4/6/2026-10:45:59,2.48,3.80,171.22,3.84,100.00,100.00
4/6/2026-11:00:59,2.35,3.81,173.01,3.84,100.00,100.00
4/6/2026-11:15:59,2.45,3.84,176.26,3.88,100.00,100.00
4/6/2026-11:30:59,2.38,3.84,176.80,3.86,100.00,100.00
4/6/2026-11:45:59,2.22,3.60,162.21,3.61,100.00,100.00
4/6/2026-12:00:59,1.99,3.80,179.59,3.83,100.00,100.00
4/6/2026-12:15:59,1.99,3.57,154.73,3.57,100.00,100.00
4/6/2026-12:30:59,2.23,3.58,156.36,3.58,100.00,100.00
4/6/2026-12:45:59,2.43,3.58,156.36,3.58,100.00,100.00
4/6/2026-13:00:59,2.41,3.55,120.87,3.52,100.00,100.00
4/6/2026-13:15:59,2.54,3.50,114.00,3.45,100.00,100.00
4/6/2026-13:30:59,2.41,3.47,115.70,3.43,100.00,100.00
4/6/2026-13:45:59,2.42,3.42,123.18,3.38,100.00,100.00
4/6/2026-14:00:59,2.48,3.33,108.04,3.28,100.00,100.00
4/6/2026-14:15:59,2.44,3.48,112.04,3.43,100.00,100.00
4/6/2026-14:30:59,2.48,3.35,106.77,3.28,100.00,100.00
4/6/2026-14:45:59,2.42,3.46,117.51,3.42,100.00,100.00
4/6/2026-15:00:59,2.57,3.41,118.06,3.37,100.00,100.00
4/6/2026-15:15:59,2.55,3.61,131.45,3.58,100.00,100.00
4/6/2026-15:30:59,2.45,3.48,119.38,3.43,100.00,100.00
4/6/2026-15:45:59,2.51,3.65,135.07,3.63,100.00,100.00
4/6/2026-16:00:59,2.31,3.60,138.72,3.57,100.00,100.00
4/6/2026-16:15:59,2.56,3.79,151.86,3.78,100.00,100.00
4/6/2026-16:30:59,2.28,3.78,162.19,3.77,100.00,100.00
4/6/2026-16:45:59,2.08,3.58,179.80,3.62,100.00,100.00
4/6/2026-17:00:59,2.08,3.58,175.15,3.61,100.00,100.00
4/6/2026-17:15:59,1.76,3.48,190.74,3.53,94.00,100.00
4/6/2026-17:30:59,2.07,3.47,177.65,3.52,90.00,100.00
4/6/2026-17:45:59,1.76,3.65,198.17,3.72,87.00,100.00
4/6/2026-18:00:59,1.30,3.70,222.74,3.79,86.00,96.00
4/6/2026-18:15:59,1.24,3.64,213.32,3.74,84.00,93.00
4/6/2026-18:30:59,0.97,3.52,218.84,3.63,84.00,93.00
4/6/2026-18:45:59,1.04,3.57,218.79,3.67,87.00,93.00
4/6/2026-19:00:59,1.14,3.57,214.82,3.69,86.00,92.00
4/6/2026-19:15:59,1.13,3.61,219.75,3.74,86.00,92.00
4/6/2026-19:30:59,1.07,3.62,219.91,3.74,86.00,92.00
4/6/2026-19:45:59,0.99,3.63,219.38,3.78,86.00,91.00
4/6/2026-20:00:59,1.03,3.65,213.09,3.77,86.00,91.00
4/6/2026-20:15:59,1.04,3.68,234.80,3.80,85.00,91.00
4/6/2026-20:30:59,0.99,3.30,212.99,3.35,85.00,91.00
4/6/2026-20:45:59,0.98,3.14,188.38,3.19,85.00,90.00
4/6/2026-21:00:59,1.16,3.02,184.50,3.05,85.00,90.00
4/6/2026-21:15:59,1.15,3.12,195.46,3.17,84.00,90.00
4/6/2026-21:30:59,1.20,3.16,183.30,3.19,84.00,90.00
4/6/2026-21:45:59,1.23,3.21,185.85,3.23,84.00,90.00
4/6/2026-22:00:59,1.21,2.86,152.67,2.86,84.00,89.00
4/6/2026-22:15:59,1.30,2.85,155.47,2.82,84.00,89.00
4/6/2026-22:30:59,1.24,2.77,150.46,2.78,81.00,89.00
4/6/2026-22:45:59,0.89,1.50,46.47,2.89,83.00,88.00
4/6/2026-23:00:59,0.92,1.55,46.61,2.97,83.00,88.00
4/6/2026-23:15:59,0.99,1.58,45.75,2.89,83.00,88.00
4/6/2026-23:30:59,1.05,1.64,47.24,3.05,83.00,87.00
4/6/2026-23:45:59,0.87,1.39,21.09,3.06,83.00,87.00
